User ID,Device Model,Operating System,App Usage Time (min/day),Screen On Time (hours/day),Battery Drain (mAh/day),Number of Apps Installed,Data Usage (MB/day),Age,Gender,User Behavior Class,Temperature (°C),Mobile Heating Label
1,Google Pixel 5,Android,393,6.4,1872,67,1122,40,Male,4,51.222,Yes
2,OnePlus 9,Android,268,4.7,1331,42,944,47,Female,3,45.19766667,Yes
3,Xiaomi Mi 11,Android,154,4,761,32,322,42,Male,2,41.32766667,Yes
4,Google Pixel 5,Android,239,4.8,1676,56,871,20,Male,3,45.25933333,Yes
5,iPhone 12,iOS,187,4.3,1367,58,988,31,Female,3,43.08366667,Yes
6,Google Pixel 5,Android,99,2,940,35,564,31,Male,2,36.59,No
7,Samsung Galaxy S21,Android,350,7.3,1802,66,1054,21,Female,4,52.23533333,Yes
8,OnePlus 9,Android,543,11.4,2956,82,1702,31,Male,5,64.806,Yes
9,Samsung Galaxy S21,Android,340,7.7,2138,75,1053,42,Female,4,53.20466667,Yes
10,iPhone 12,iOS,424,6.6,1957,75,1301,42,Male,4,52.22366667,Yes
11,Google Pixel 5,Android,53,1.4,435,17,162,34,Female,1,34.11833333,No
12,OnePlus 9,Android,215,5.5,1690,47,641,24,Male,3,46.27333333,Yes
13,OnePlus 9,Android,462,6.2,2303,65,1099,57,Female,4,52.403,Yes
14,Xiaomi Mi 11,Android,215,4.9,1662,43,857,43,Male,3,45.04533333,Yes
15,iPhone 12,iOS,189,5.4,1754,53,779,49,Female,3,45.704,Yes
16,Google Pixel 5,Android,503,10.4,2571,84,2025,39,Female,5,61.75433333,Yes
17,OnePlus 9,Android,132,3.6,628,32,344,47,Female,2,40.028,Yes
18,iPhone 12,iOS,299,5.8,1431,41,985,44,Female,3,48.01433333,Yes
19,Google Pixel 5,Android,81,1.4,558,16,297,26,Female,1,34.708,No
20,iPhone 12,iOS,577,8.5,2774,89,2192,29,Female,5,59.39066667,Yes
21,Samsung Galaxy S21,Android,93,2.6,681,37,302,45,Female,2,37.431,No
